path,p_3600_db,p_4000_db,p_4200_db,drop_4000_db,drop_4200_db,severe
E1 digital,96.22033822777661,76.18462629648913,47.50111105221432,20.03571193128748,48.71922717556229,False
SIP digital,96.22909242827804,76.19836654057724,47.50151115541918,20.030725887700797,48.727581272858856,False
SIP D/A-A/D,92.1972900244742,52.00626516583222,33.76256679963162,40.19102485864198,58.43472322484258,True
