case,symbol,block_rms_error,filtered_mean_error
Measured SIP digital capture,7840,0.0,0.0001
Measured SIP digital capture,8000,0.0,0.0001
Measured SIP digital capture,8160,0.0,0.0001
Measured SIP digital capture,8320,0.0,0.0001
Measured SIP digital capture,8480,0.0,0.0001
Measured SIP digital capture,8640,0.0,0.0001
Measured SIP digital capture,8800,0.0,0.0001
Measured SIP digital capture,8960,0.0,0.0001
Measured SIP digital capture,9120,0.0,0.0001
Measured SIP digital capture,9280,0.0,0.0001
Measured SIP digital capture,9440,0.0,0.0001
Measured SIP digital capture,9600,0.0,0.0001
Measured SIP digital capture,9760,0.0,0.0001
Measured SIP digital capture,9920,0.0,0.0001
"Digital, residual clock only",160,48.463065833684105,14.538919750105233
"Digital, residual clock only",320,116.05001615682784,44.99224867212202
"Digital, residual clock only",480,234.11629054809492,101.7294612349139
"Digital, residual clock only",640,298.4767055399801,160.75363452643376
"Digital, residual clock only",800,414.65485647704645,236.92400111161757
"Digital, residual clock only",960,492.44554902039675,313.58046548425136
"Digital, residual clock only",1120,614.2140913394937,403.77055324082414
"Digital, residual clock only",1280,584.0031624486292,457.8403360031656
"Digital, residual clock only",1440,462.15323486912865,459.1342056629545
"Digital, residual clock only",1600,565.4289522123889,491.0226296277848
"Digital, residual clock only",1760,574.0314451317105,515.9252742789624
"Digital, residual clock only",1920,549.9485373650883,526.1322532048002
"Digital, residual clock only",2080,560.1325791721099,536.3323509949931
"Digital, residual clock only",2240,527.1106975768942,533.5658549695635
"Digital, residual clock only",2400,459.47888281182196,511.339763322241
"Digital, residual clock only",2560,477.405861139136,501.15959266730954
"Digital, residual clock only",2720,518.8229888410883,506.4586115194432
"Digital, residual clock only",2880,490.78246836047435,501.7557685717526
"Digital, residual clock only",3040,513.040245741014,505.14111172253104
"Digital, residual clock only",3200,532.0430198771525,513.2116841689174
"Digital, residual clock only",3360,554.2937792813483,525.5363127026467
"Digital, residual clock only",3520,536.5032152746152,528.8263834742372
"Digital, residual clock only",3680,597.7107159822383,549.4916832266376
"Digital, residual clock only",3840,599.3631098924925,564.4531112263941
"Digital, residual clock only",4000,632.0894863466723,584.7440237624776
"Digital, residual clock only",4160,630.4397869741408,598.4527527259766
"Digital, residual clock only",4320,676.4206854835236,621.8431325532406
"Digital, residual clock only",4480,713.081582815038,649.2146676317798
"Digital, residual clock only",4640,678.870698292392,658.1114768299634
"Digital, residual clock only",4800,722.585769130558,677.4537645201418
"Digital, residual clock only",4960,744.1726488188074,697.4694298097415
"Digital, residual clock only",5120,748.9610345338401,712.916911226971
"Digital, residual clock only",5280,731.42784589459,718.4701916272567
"Digital, residual clock only",5440,819.9519688676892,748.9147247993865
"Digital, residual clock only",5600,760.8626847204429,752.4991127757033
"Digital, residual clock only",5760,774.296362028132,759.038287551432
"Digital, residual clock only",5920,736.9014350644189,752.3972318053281
"Digital, residual clock only",6080,786.3007296829884,762.5682811686262
"Digital, residual clock only",6240,664.852173419024,733.2534488437454
"Digital, residual clock only",6400,678.1991134615262,716.7371482290797
"Digital, residual clock only",6560,709.9516048647259,714.7014852197735
"Digital, residual clock only",6720,604.7333503288867,681.7110447525074
